dataset,n,k,exhaustive_seconds,diagnostic_seconds,speedup
iris,80,1,0.0865975,0.002740599999999982,31.598007735532573
iris,80,3,0.16951310000000008,0.0022623999999999977,74.92622878359276
iris,80,5,0.1760999000000001,0.00232650000000012,75.69305824199054
iris,80,7,0.1742245,0.002275000000000027,76.5821978021969
iris,80,9,0.18489500000000003,0.0023674000000000195,78.10044774858432
iris,80,11,0.1837435999999999,0.002302500000000096,79.80178067317794
iris,80,15,0.17780850000000004,0.0023119999999998697,76.90679065744379
iris,80,1,0.10079130000000003,0.0029612999999999445,34.036166548475975
iris,80,3,0.16723299999999997,0.002157600000000315,77.50880608081923
iris,80,5,0.1833165000000001,0.0025225999999998194,72.66966621739999
iris,80,7,0.17487720000000007,0.0022653000000003587,77.19825188715507
iris,80,9,0.6652533000000003,0.010755300000000023,61.85353267691267
iris,80,11,0.8237583999999996,0.010663199999999762,77.25245704854245
iris,80,15,0.7889407999999998,0.009725699999999726,81.1191790822277
wine,80,1,0.41683559999999886,0.0106970000000004,38.96752360474743
wine,80,3,0.8233625999999994,0.010006300000000579,82.2844208148818
wine,80,5,0.7687860000000022,0.010279000000000593,74.79190582741101
wine,80,7,0.7672863999999997,0.011698299999999051,65.58956429567219
wine,80,9,0.8215460000000014,0.010934800000001133,75.13132384679339
wine,80,11,0.8143644000000023,0.011754699999997342,69.27989655203335
wine,80,15,0.8339981000000023,0.011265900000001494,74.0285374448461
wine,80,1,0.42392509999999817,0.009927400000002251,42.70253037047989
wine,80,3,0.7989601999999998,0.009791199999998668,81.59982433206436
wine,80,5,0.8249015000000028,0.01126119999999986,73.25165168898636
wine,80,7,0.8018160999999999,0.01042980000000071,76.87741855068604
wine,80,9,0.8059048000000004,0.009501900000000063,84.81512118628854
wine,80,11,0.7970989000000017,0.01082410000000067,73.6411248972157
wine,80,15,0.8172238000000007,0.011199699999998813,72.9683652240763
breast_cancer,80,1,0.41980410000000035,0.010232500000000755,41.02654287808154
breast_cancer,80,3,0.7606005999999965,0.009604899999999361,79.1888098782962
breast_cancer,80,5,0.755737400000001,0.010367600000002142,72.89415100889742
breast_cancer,80,7,0.7719410999999994,0.01043690000000197,73.96268048940334
breast_cancer,80,9,0.7881338999999983,0.010442799999999863,75.47151147201983
breast_cancer,80,11,0.7872946999999968,0.010379999999997835,75.84727360309836
breast_cancer,80,15,0.805853599999999,0.012677399999994066,63.56615709848835
breast_cancer,80,1,0.41570600000000013,0.010086100000002318,41.21573254279698
breast_cancer,80,3,0.7471444999999974,0.011232399999997256,66.51690644921655
breast_cancer,80,5,0.7862916999999996,0.01060149999999993,74.16796679715179
breast_cancer,80,7,0.7798109000000011,0.011062899999998876,70.4888320422385
breast_cancer,80,9,0.7914840999999981,0.010149999999995885,77.97872906407085
breast_cancer,80,11,0.8069137000000026,0.01010339999999843,79.865560108491
breast_cancer,80,15,0.8345786000000004,0.011515899999999135,72.47185196120695
digits,80,1,0.43863229999999476,0.01149019999999723,38.174470418278226
digits,80,3,0.8488126000000022,0.011072499999997376,76.65952585235524
digits,80,5,0.8528358000000082,0.011113899999998011,76.73596127373477
digits,80,7,0.8417899000000091,0.01158739999999625,72.64700450491753
digits,80,9,0.8509973999999971,0.010297600000001239,82.640362802973
digits,80,11,0.8480161000000095,0.011315199999998526,74.94486177885675
digits,80,15,0.8447079999999971,0.012224500000002081,69.0995950754512
digits,80,1,0.43872190000000444,0.010579200000009337,41.47023404412595
digits,80,3,0.8433491999999916,0.010468399999993494,80.56142294911503
digits,80,5,0.8535291000000029,0.011866300000008323,71.92883207060366
digits,80,7,0.8370510000000024,0.00978399999999624,85.55304578907646
digits,80,9,0.8426941999999968,0.01073189999999613,78.52236789387719
digits,80,11,0.8382017999999931,0.009902900000000159,84.64205434771428
digits,80,15,0.8566918999999871,0.010583700000012186,80.94446176658452
