dataset,seed,strategy,selected_k,loo_error,replace_vulnerability
iris,0,cv_min_loo,1,0.0,1.0
iris,0,margin_aware_k,9,0.0,0.0
iris,1,cv_min_loo,3,0.0,0.0125
iris,1,margin_aware_k,5,0.0,0.0
iris,2,cv_min_loo,5,0.0,0.0125
iris,2,margin_aware_k,15,0.0125,0.0
iris,3,cv_min_loo,1,0.0,1.0
iris,3,margin_aware_k,5,0.0,0.0
iris,4,cv_min_loo,3,0.0,0.0125
iris,4,margin_aware_k,9,0.0,0.0
iris,5,cv_min_loo,7,0.0,0.0125
iris,5,margin_aware_k,11,0.0,0.0
iris,6,cv_min_loo,1,0.0,1.0
iris,6,margin_aware_k,3,0.0,0.0
iris,7,cv_min_loo,1,0.0,1.0
iris,7,margin_aware_k,3,0.0,0.0
iris,8,cv_min_loo,3,0.0,0.0125
iris,8,margin_aware_k,5,0.0,0.0
iris,9,cv_min_loo,1,0.0,1.0
iris,9,margin_aware_k,3,0.0,0.0
iris,10,cv_min_loo,3,0.0,0.0125
iris,10,margin_aware_k,5,0.0,0.0
iris,11,cv_min_loo,1,0.0,1.0
iris,11,margin_aware_k,3,0.0,0.0
wine,0,cv_min_loo,1,0.0125,1.0
wine,0,margin_aware_k,9,0.0125,0.0
wine,1,cv_min_loo,1,0.0125,1.0
wine,1,margin_aware_k,5,0.025,0.0125
wine,2,cv_min_loo,7,0.0,0.0375
wine,2,margin_aware_k,15,0.0,0.0
wine,3,cv_min_loo,3,0.0125,0.05
wine,3,margin_aware_k,11,0.0125,0.0
wine,4,cv_min_loo,1,0.025,1.0
wine,4,margin_aware_k,15,0.0375,0.025
wine,5,cv_min_loo,3,0.0,0.025
wine,5,margin_aware_k,5,0.0125,0.0125
wine,6,cv_min_loo,9,0.0125,0.025
wine,6,margin_aware_k,15,0.0125,0.0125
wine,7,cv_min_loo,3,0.0,0.05
wine,7,margin_aware_k,11,0.0,0.0
wine,8,cv_min_loo,9,0.0125,0.0375
wine,8,margin_aware_k,15,0.025,0.0125
wine,9,cv_min_loo,7,0.0125,0.025
wine,9,margin_aware_k,9,0.0125,0.0
wine,10,cv_min_loo,3,0.025,0.0625
wine,10,margin_aware_k,15,0.025,0.0125
wine,11,cv_min_loo,15,0.025,0.0
wine,11,margin_aware_k,15,0.025,0.0
breast_cancer,0,cv_min_loo,3,0.0625,0.1
breast_cancer,0,margin_aware_k,11,0.075,0.025
breast_cancer,1,cv_min_loo,5,0.05,0.075
breast_cancer,1,margin_aware_k,11,0.05,0.0125
breast_cancer,2,cv_min_loo,3,0.0375,0.1625
breast_cancer,2,margin_aware_k,9,0.05,0.025
breast_cancer,3,cv_min_loo,3,0.025,0.125
breast_cancer,3,margin_aware_k,5,0.0375,0.0125
breast_cancer,4,cv_min_loo,3,0.075,0.175
breast_cancer,4,margin_aware_k,9,0.075,0.0375
breast_cancer,5,cv_min_loo,7,0.0375,0.05
breast_cancer,5,margin_aware_k,15,0.0625,0.0125
breast_cancer,6,cv_min_loo,3,0.0375,0.0875
breast_cancer,6,margin_aware_k,15,0.05,0.0375
breast_cancer,7,cv_min_loo,1,0.05,1.0
breast_cancer,7,margin_aware_k,9,0.0625,0.0125
breast_cancer,8,cv_min_loo,1,0.075,1.0
breast_cancer,8,margin_aware_k,9,0.1,0.05
breast_cancer,9,cv_min_loo,7,0.025,0.025
breast_cancer,9,margin_aware_k,9,0.025,0.0125
breast_cancer,10,cv_min_loo,5,0.1,0.15
breast_cancer,10,margin_aware_k,7,0.125,0.1375
breast_cancer,11,cv_min_loo,1,0.025,1.0
breast_cancer,11,margin_aware_k,9,0.0375,0.025
digits,0,cv_min_loo,1,0.0,1.0
digits,0,margin_aware_k,3,0.0,0.0
digits,1,cv_min_loo,1,0.0,1.0
digits,1,margin_aware_k,3,0.0,0.0
digits,2,cv_min_loo,1,0.0,1.0
digits,2,margin_aware_k,3,0.0,0.0
digits,3,cv_min_loo,1,0.0,1.0
digits,3,margin_aware_k,3,0.0,0.0
digits,4,cv_min_loo,1,0.0,1.0
digits,4,margin_aware_k,3,0.0,0.0
digits,5,cv_min_loo,1,0.0,1.0
digits,5,margin_aware_k,3,0.0,0.0
digits,6,cv_min_loo,3,0.0,0.025
digits,6,margin_aware_k,5,0.0,0.0
digits,7,cv_min_loo,1,0.0,1.0
digits,7,margin_aware_k,3,0.0,0.0
digits,8,cv_min_loo,1,0.0,1.0
digits,8,margin_aware_k,3,0.0,0.0
digits,9,cv_min_loo,1,0.0,1.0
digits,9,margin_aware_k,3,0.0,0.0
digits,10,cv_min_loo,1,0.0,1.0
digits,10,margin_aware_k,3,0.0,0.0
digits,11,cv_min_loo,1,0.0,1.0
digits,11,margin_aware_k,3,0.0,0.0
