dataset,k,n_replicates,separation_frequency,separation_ci,mean_vulnerable_query_rate,vuln_rate_ci,mean_diagnostic_precision,mean_diagnostic_recall,mean_max_loo,mean_max_replace_one
iris,1,24,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
iris,3,24,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
iris,5,24,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
iris,7,24,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
wine,1,24,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
wine,3,24,0.08333333333333333,0.11057718939643389,0.14152777777777778,0.01434783714755493,1.0,1.0,0.9166666666666666,1.0
wine,5,24,0.2916666666666667,0.18184974210513388,0.09944444444444445,0.012789616898544015,1.0,1.0,0.7083333333333334,1.0
wine,7,24,0.7083333333333334,0.18184974210513388,0.03361111111111111,0.007414412544125503,1.0,1.0,0.2916666666666667,1.0
breast_cancer,1,24,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
breast_cancer,3,24,0.125,0.1323151225924938,0.0963888888888889,0.011484530434476264,1.0,1.0,0.875,1.0
breast_cancer,5,24,0.125,0.1323151225924938,0.04972222222222222,0.011651089909984175,1.0,1.0,0.8333333333333334,0.9583333333333334
breast_cancer,7,24,0.16666666666666666,0.14910225176529524,0.04986111111111111,0.013564640578453739,1.0,1.0,0.7083333333333334,0.875
digits,1,24,0.875,0.1323151225924938,1.0,0.0,1.0,1.0,0.125,1.0
digits,3,24,0.25,0.17324116139070414,0.004861111111111111,0.003030829035085565,1.0,1.0,0.041666666666666664,0.2916666666666667
digits,5,24,0.125,0.1323151225924938,0.00986111111111111,0.004064764879892389,1.0,1.0,0.5833333333333334,0.7083333333333334
digits,7,24,0.5416666666666666,0.1993458631327677,0.010555555555555556,0.0052173953263836125,1.0,1.0,0.125,0.6666666666666666
